gender,age,Feesav,Dhav,rating,famrel,health,absences,address,guardian,class
M,18,3,2,1,4,5,0,R,mother,1
M,19,1,1,1,3,5,5,U,father,1
F,18,4,4,2,4,3,6,U,mother,0
F,17,1,1,2,5,3,4,U,father,1
F,15,1,1,2,4,3,10,U,mother,1
F,15,4,2,3,3,5,2,U,mother,0
F,16,3,3,2,4,5,4,U,father,0
M,16,4,3,2,5,5,10,U,mother,0
M,16,2,2,2,4,3,0,U,mother,1
F,17,4,4,2,4,1,6,U,mother,0
M,15,3,2,2,4,1,0,U,mother,1
M,15,3,4,2,5,5,0,U,mother,0
F,15,4,4,2,3,2,0,U,mother,0
F,15,2,1,3,5,4,4,U,father,0
M,15,4,4,1,4,5,2,U,father,1
M,15,4,3,2,5,3,2,U,mother,0
M,15,2,2,3,4,3,0,U,other,0
F,16,4,4,1,4,2,4,U,mother,0
F,16,4,4,3,3,2,6,U,mother,0
F,16,3,3,2,5,4,4,U,mother,0
M,17,3,2,1,5,5,16,U,mother,1
M,16,4,3,1,3,5,4,U,father,0
M,15,4,3,2,4,1,0,U,mother,0
M,15,4,4,1,5,5,0,U,father,0
M,16,4,2,2,4,5,2,U,mother,0
M,16,2,2,2,5,5,0,U,mother,1
F,15,2,4,3,4,5,2,R,mother,0
F,16,2,2,1,1,5,14,U,mother,1
M,15,2,2,1,4,5,2,U,mother,1
M,15,4,2,1,2,1,4,U,mother,0
M,16,3,4,2,5,5,4,U,mother,0
M,16,4,4,2,4,5,16,U,mother,0
M,15,4,4,2,5,5,0,U,mother,0
M,15,4,4,2,4,5,0,U,mother,0
M,15,4,3,2,4,5,0,R,mother,0
M,15,3,3,2,5,2,0,U,mother,0
M,16,3,2,1,5,5,0,U,mother,1
F,15,2,3,1,3,5,0,U,father,1
M,15,4,3,3,5,4,2,U,mother,0
M,16,4,4,3,2,5,7,R,mother,0
F,15,3,4,3,4,5,2,R,mother,0
F,15,2,2,1,4,2,8,R,mother,1
F,16,2,2,2,3,3,25,U,mother,1
M,15,4,4,1,5,5,8,U,other,0
M,15,4,4,2,4,5,2,U,father,0
M,15,2,2,1,5,1,0,U,father,1
F,16,2,2,2,4,5,14,U,father,1
F,15,4,3,2,5,5,8,U,mother,0
F,16,3,3,2,2,3,12,U,mother,0
M,16,4,3,4,4,2,4,U,mother,0
M,15,4,2,2,4,5,2,U,mother,0
F,15,4,4,2,4,3,2,U,father,0
F,16,2,2,2,4,4,2,U,mother,1
F,15,4,2,2,4,5,2,U,mother,0
M,15,4,2,1,5,5,6,U,father,0
F,15,4,4,1,3,5,0,U,mother,0
F,15,3,3,1,5,1,6,U,mother,0
F,16,2,1,2,5,2,8,U,mother,1
F,15,4,3,2,4,1,0,U,mother,0
M,15,4,4,2,3,5,4,U,mother,0
M,15,1,2,2,4,5,2,U,father,1
F,16,4,2,2,4,5,2,U,mother,0
F,16,4,4,2,2,4,6,R,mother,0
F,16,1,1,1,5,5,6,U,father,1
F,16,1,2,2,4,1,4,U,father,1
F,16,4,3,3,3,4,2,U,mother,0
F,15,4,3,2,4,2,0,U,father,0
F,16,4,3,2,5,1,2,U,mother,0
M,15,4,4,4,1,3,4,U,mother,0
F,16,3,1,4,4,5,4,U,mother,1
F,15,2,2,2,4,4,2,R,mother,1
F,15,3,1,4,4,3,12,R,father,1
M,16,3,1,4,4,5,0,U,father,1
M,15,4,2,4,3,3,0,U,mother,0
F,15,1,1,2,3,5,2,R,mother,1
M,16,3,1,1,5,5,2,U,mother,1
F,16,3,3,2,4,5,54,U,mother,0
M,15,4,3,2,4,5,6,U,mother,0
M,15,4,0,4,3,1,8,U,mother,1
F,16,2,2,4,5,3,0,U,mother,1
M,17,2,1,1,4,3,2,U,mother,1
F,16,3,4,2,2,3,12,U,mother,0
M,15,2,3,1,3,3,2,U,father,1
M,15,2,3,3,5,5,4,U,mother,1
F,15,3,2,2,4,5,10,U,mother,1
M,15,2,2,2,5,4,4,U,mother,1
F,15,1,1,2,4,4,2,U,father,1
F,15,4,4,2,4,5,6,U,father,0
F,16,2,2,2,4,2,4,U,mother,1
F,15,4,2,3,5,1,4,U,mother,0
M,16,2,2,2,4,3,12,U,father,1
M,16,4,4,2,4,5,18,U,mother,0
F,16,3,3,3,4,4,0,U,mother,0
F,15,4,3,1,4,1,4,U,mother,0
F,16,3,1,2,3,2,4,U,father,1
F,16,4,2,2,5,1,0,U,mother,0
M,15,2,2,4,4,4,6,U,mother,1
F,15,1,1,4,3,1,2,R,mother,1
M,16,4,3,1,3,4,2,R,mother,0
F,16,2,1,2,4,5,2,U,mother,1
F,16,4,4,1,5,1,6,U,mother,0
F,16,4,3,3,5,3,0,U,mother,0
M,16,4,4,1,4,4,14,U,mother,0
M,16,4,4,3,4,4,0,U,father,0
M,15,4,4,1,5,5,4,U,mother,0
F,15,3,2,2,4,2,26,U,mother,0
M,15,3,4,2,5,1,0,U,mother,0
F,15,3,3,4,4,4,10,U,father,0
F,15,2,2,4,5,3,8,U,mother,1
M,16,3,3,3,5,5,2,U,father,0
M,15,4,4,4,1,1,6,R,father,0
F,16,4,4,3,5,4,4,U,mother,0
M,15,4,4,1,5,4,6,U,mother,0
F,16,3,3,3,4,2,0,R,father,0
F,16,2,2,2,3,5,6,U,mother,1
M,15,4,2,1,3,3,10,U,mother,0
M,15,2,1,2,5,5,8,R,mother,1
M,16,4,4,2,5,5,2,U,father,0
M,15,4,4,2,4,2,2,U,father,0
M,16,3,3,1,5,5,0,U,father,0
M,17,1,3,2,5,5,20,R,father,1
M,15,3,4,1,3,4,6,U,father,0
F,15,1,2,2,3,1,2,U,mother,1
M,15,2,2,4,5,5,6,U,father,1
F,16,2,4,2,4,5,2,U,father,0
M,16,4,4,1,3,5,18,U,mother,0
F,16,2,2,2,5,5,0,U,mother,0
M,15,3,4,1,5,5,0,U,father,0
F,15,3,4,2,5,1,0,U,mother,0
F,19,0,1,2,3,5,2,U,other,1
M,18,2,2,1,3,4,0,R,mother,1
M,16,4,4,1,3,4,8,R,mother,0
F,15,3,4,3,4,5,0,R,father,0
F,15,1,1,1,4,4,0,U,mother,1
F,17,2,2,1,3,5,12,U,father,1
F,16,3,4,1,3,5,16,U,father,0
M,15,3,4,2,5,5,0,R,mother,0
F,15,4,4,3,4,5,0,U,mother,0
M,17,3,4,2,5,5,0,R,mother,0
F,16,3,3,1,4,5,0,U,other,0
M,16,1,1,2,4,5,0,U,mother,1
F,15,4,4,1,4,5,0,U,mother,0
M,15,4,3,4,2,3,0,U,father,0
M,16,2,2,1,2,2,8,U,father,1
F,15,4,4,3,4,5,2,U,mother,0
F,16,1,1,1,3,1,2,U,mother,1
M,17,2,1,1,5,5,0,U,mother,1
F,15,1,1,2,4,5,0,U,father,1
F,15,3,2,2,3,3,0,U,father,1
F,15,1,2,2,4,5,2,U,mother,1
M,16,4,4,1,3,5,0,U,mother,0
M,15,2,1,1,4,5,0,U,mother,1
M,18,1,1,1,2,4,0,U,mother,1
M,16,2,1,1,4,5,6,U,mother,1
F,15,3,3,3,4,3,8,R,other,0
M,19,3,2,1,4,4,0,U,mother,0
F,17,4,4,1,4,4,0,U,mother,0
M,15,2,3,2,4,1,2,R,mother,1
M,17,1,2,1,2,5,8,R,mother,1
F,18,1,1,1,5,4,6,R,mother,1
M,16,2,2,1,4,3,2,R,mother,1
M,16,3,3,2,4,5,4,U,father,0
M,17,2,1,1,3,5,0,R,mother,1
M,15,3,2,2,4,3,6,R,mother,1
M,16,1,2,1,4,5,0,U,mother,1
M,17,1,3,1,5,2,2,U,father,1
M,17,1,1,2,5,5,0,R,mother,1
M,16,3,2,1,4,2,16,U,mother,1
M,16,2,2,2,4,4,4,U,father,1
F,16,4,2,2,4,3,0,U,father,0
F,16,2,2,2,5,4,0,U,mother,1
F,16,4,4,2,4,3,0,U,mother,0
M,16,3,4,1,3,2,0,U,father,0
M,16,1,0,2,4,3,2,U,mother,1
M,17,4,4,2,4,5,0,U,mother,0
F,16,1,3,2,4,3,0,U,mother,1
F,16,3,3,2,4,4,4,U,mother,0
M,17,4,3,2,4,4,4,U,mother,0
F,16,2,2,2,3,5,2,U,mother,1
M,17,3,3,2,4,4,4,U,father,0
M,16,4,2,1,4,3,10,R,mother,0
M,17,4,3,2,5,2,4,U,mother,0
M,16,4,3,2,3,3,10,U,mother,0
M,16,3,3,2,4,3,2,U,mother,0
F,17,2,4,2,5,5,0,U,father,0
F,17,3,3,2,5,1,56,U,mother,0
F,16,3,2,2,1,1,14,U,mother,1
M,17,3,3,2,4,4,12,U,mother,0
M,16,1,2,1,3,3,2,U,mother,1
M,16,2,1,2,4,5,0,U,mother,1
F,17,3,3,2,3,3,6,U,mother,0
M,17,1,2,2,3,3,4,R,mother,1
F,16,2,3,2,4,2,10,U,mother,1
F,17,1,1,2,5,3,0,U,mother,1
M,17,1,2,2,4,5,12,U,other,1
M,16,3,3,1,4,5,8,R,mother,1
M,16,2,3,1,5,3,0,U,father,1
F,17,2,4,2,4,5,0,U,father,0
M,17,4,4,1,5,5,4,U,mother,0
M,16,3,3,1,3,3,8,R,father,0
F,17,4,4,1,4,2,24,U,mother,0
F,16,4,4,2,4,3,0,U,mother,0
F,16,4,3,2,4,2,2,U,mother,0
F,16,2,3,2,4,4,6,U,mother,1
F,17,1,1,2,4,1,4,U,mother,1
F,17,2,2,1,5,3,18,R,mother,1
F,16,2,2,4,5,5,6,R,mother,1
F,17,3,4,3,4,5,28,U,mother,0
F,16,3,1,2,2,4,5,U,mother,1
F,16,4,3,2,1,1,10,U,mother,0
F,16,1,1,1,4,5,6,U,mother,1
F,17,4,3,3,4,4,6,R,mother,0
F,19,3,3,4,4,3,10,U,other,0
M,17,4,4,2,5,3,13,U,mother,0
F,16,2,2,2,3,4,0,U,mother,1
M,18,2,2,2,4,5,15,U,mother,1
F,17,4,4,1,5,3,12,R,mother,0
F,17,3,2,2,4,1,2,U,mother,1
F,17,4,3,2,3,1,22,U,mother,0
M,18,3,3,2,3,4,13,U,father,0
F,17,2,3,1,3,3,3,U,father,1
F,17,2,2,3,4,4,4,U,mother,1
F,17,2,1,2,4,5,2,R,mother,1
F,17,1,1,3,4,5,0,U,mother,1
F,16,2,3,2,2,3,2,U,mother,1
M,18,2,2,2,3,4,0,U,mother,1
F,16,4,4,3,5,5,0,U,mother,0
F,18,3,1,2,5,4,16,R,mother,1
F,17,3,2,2,5,3,10,U,mother,1
M,17,2,3,2,5,3,2,U,father,1
M,18,2,1,2,4,3,14,U,mother,1
F,17,2,1,3,3,3,10,U,mother,1
F,17,4,3,2,3,3,14,U,father,0
M,17,2,2,2,4,1,4,R,father,1
M,17,4,4,2,4,2,14,U,mother,0
M,16,4,4,2,4,1,2,U,father,0
M,16,1,1,2,3,5,18,U,mother,1
M,16,3,2,3,5,2,10,U,mother,1
M,17,2,2,2,4,4,4,U,father,1
F,16,2,1,1,4,5,20,U,mother,1
F,17,2,1,2,2,3,2,R,mother,1
M,18,2,2,2,5,2,0,U,father,1
M,17,4,3,2,2,5,14,U,mother,0
M,17,4,4,2,3,4,2,R,mother,0
M,16,4,3,1,5,3,0,U,mother,0
M,16,4,4,1,5,5,0,U,mother,0
F,18,2,1,3,4,3,0,U,other,1
M,16,2,1,1,4,4,6,U,mother,1
M,17,2,3,1,5,2,4,U,father,1
M,22,3,1,1,5,1,16,U,mother,1
M,18,3,3,2,4,5,8,R,mother,1
M,16,0,2,1,4,5,0,U,mother,1
M,18,3,2,1,4,5,0,U,mother,1
M,16,3,3,2,5,2,6,U,other,0
M,18,2,1,1,3,5,4,U,mother,1
M,16,2,1,1,3,3,0,R,mother,1
M,17,2,1,1,4,5,0,R,mother,1
M,17,1,1,1,4,5,2,U,mother,1
F,17,4,2,4,4,4,6,U,mother,0
M,19,4,3,2,4,1,12,U,mother,0
M,18,2,1,2,5,4,8,U,mother,1
F,17,2,2,4,3,2,0,U,father,1
F,18,4,3,2,3,2,21,U,father,0
M,18,4,3,2,4,3,2,U,mother,0
M,18,3,2,3,5,3,1,R,mother,1
F,17,3,3,3,3,4,4,U,mother,0
F,18,2,2,3,4,3,0,U,mother,1
M,18,3,4,2,4,1,13,R,mother,0
M,17,3,1,2,5,5,2,U,mother,1
F,18,4,4,2,4,4,8,R,mother,0
M,18,4,2,2,5,5,10,U,father,0
F,18,2,1,2,4,3,0,R,mother,1
F,19,3,3,2,4,5,15,U,other,0
F,18,2,3,4,4,2,4,U,father,1
F,18,1,1,2,4,3,2,U,mother,1
M,17,1,2,2,3,1,2,R,mother,1
F,17,2,4,2,4,1,2,U,mother,0
F,17,2,2,2,4,5,6,U,mother,1
F,18,3,2,2,4,5,75,R,mother,1
M,18,4,4,1,3,3,22,U,mother,0
F,18,4,4,2,2,4,15,U,father,0
M,18,4,3,1,4,1,8,U,mother,0
M,17,4,1,1,4,5,30,U,mother,1
M,17,3,2,1,4,3,19,U,mother,1
F,18,1,1,4,5,3,1,R,mother,1
F,18,1,1,2,5,4,4,U,mother,1
F,17,2,2,2,5,5,4,U,mother,1
M,17,1,1,2,4,4,2,U,father,1
F,18,2,2,3,4,2,5,U,mother,1
F,17,1,1,3,4,3,6,U,mother,1
M,18,2,1,3,4,2,6,U,mother,1
M,18,4,4,2,5,2,9,U,mother,0
M,18,4,2,2,4,5,11,U,mother,0
F,17,4,3,3,4,3,0,U,mother,0
F,18,2,1,2,5,5,12,U,mother,1
F,17,3,1,4,3,3,6,R,mother,1
M,18,3,2,3,5,4,8,R,mother,1
M,17,3,3,1,4,5,4,U,mother,0
F,19,4,4,2,2,2,0,U,other,0
F,18,4,3,2,4,2,10,U,other,0
F,18,4,3,4,4,3,0,U,father,0
M,18,4,4,1,1,1,5,U,mother,0
F,18,4,4,2,4,4,14,U,mother,0
M,17,4,4,1,4,5,0,U,father,0
F,17,4,2,3,4,3,0,U,mother,0
F,17,3,2,4,5,5,0,U,father,1
M,19,3,3,2,4,3,20,U,other,0
F,18,2,4,2,4,3,8,U,other,0
M,20,3,2,1,5,5,0,U,other,1
M,19,4,4,1,4,4,38,U,other,0
M,19,3,3,2,4,5,0,R,father,1
F,19,1,1,2,4,3,18,U,other,1
F,19,1,2,2,4,3,0,U,other,1
F,19,2,1,2,3,2,20,U,other,1
M,19,1,2,2,4,4,3,U,other,1
F,19,3,2,2,4,1,22,U,other,1
F,19,1,1,3,4,3,14,U,other,1
F,19,2,3,3,4,3,40,R,other,1
F,18,2,1,2,5,1,0,U,mother,1
F,18,4,3,3,4,5,9,U,mother,0
F,17,3,4,3,4,5,0,R,father,0
F,18,4,4,2,4,5,2,U,mother,0
F,17,4,3,2,5,5,23,U,mother,0
F,17,2,2,2,4,3,12,U,mother,1
F,17,2,2,3,3,3,3,R,mother,1
F,17,3,1,3,3,5,1,U,father,1
F,17,0,2,3,3,2,0,U,father,1
M,18,4,4,3,4,3,3,U,mother,0
M,17,3,3,1,4,5,3,U,mother,1
M,17,2,2,1,4,4,8,R,mother,1
F,17,4,4,3,5,4,7,U,mother,0
F,17,4,4,3,4,4,4,U,mother,1
M,18,2,2,4,4,5,2,U,mother,0
F,17,2,4,3,4,5,7,R,father,1
F,18,3,3,2,5,4,0,U,mother,1
F,18,2,2,2,4,2,0,U,other,1
F,18,2,2,4,4,4,0,R,mother,1
F,17,3,4,3,4,5,16,U,mother,0
F,19,3,1,3,5,5,12,R,other,1
F,17,3,2,2,4,2,0,U,mother,1
F,18,3,3,4,5,1,7,U,mother,1
F,17,3,2,2,4,2,4,R,mother,1
F,19,2,1,3,4,3,4,U,other,1
M,18,4,4,2,4,2,0,U,father,0
M,18,3,4,2,4,5,11,U,mother,0
F,17,2,2,2,3,4,0,U,father,1
F,18,2,3,3,4,3,4,U,mother,1
F,18,3,2,3,5,1,7,U,mother,1
M,18,4,3,3,5,4,9,R,mother,0
M,18,4,3,3,5,5,0,U,mother,0
F,17,4,3,3,4,4,0,U,mother,0
M,18,3,2,1,2,5,10,R,mother,1
M,19,1,1,2,5,2,8,R,other,1
M,17,3,3,2,4,3,2,U,mother,1
M,18,1,3,1,4,3,7,U,mother,1
M,19,1,1,1,4,5,4,R,other,1
M,17,4,3,2,4,2,4,R,mother,0
F,18,3,3,2,5,5,0,U,father,1
F,17,4,4,2,4,5,4,R,father,0
F,17,3,2,2,1,5,2,U,mother,1
M,18,1,1,1,3,3,4,U,father,1
F,18,1,1,3,5,4,0,U,father,1
F,18,1,4,2,4,5,0,R,mother,1
M,18,1,1,2,4,5,2,R,mother,1
F,18,3,3,2,4,3,0,U,mother,1
F,17,4,4,2,2,1,0,U,mother,0
F,17,1,2,2,3,3,0,R,father,1
M,18,1,3,2,3,3,4,R,mother,1
M,18,4,4,3,4,5,0,U,mother,0
F,17,1,1,1,5,1,0,R,mother,1
F,18,2,3,1,5,4,0,U,father,1
F,18,4,4,2,3,5,10,R,father,0
F,19,3,2,2,3,3,4,U,other,1
M,18,1,2,1,4,3,3,R,father,1
F,17,2,2,3,3,3,8,U,mother,1
F,17,1,2,1,3,1,14,R,mother,1
F,18,4,4,3,5,1,0,R,mother,0
F,18,1,1,3,4,4,2,R,mother,1
F,20,4,2,3,5,3,4,U,other,1
F,18,4,4,2,5,2,4,R,mother,0
F,18,3,3,2,4,1,0,U,mother,1
F,17,3,1,2,4,1,17,R,mother,1
M,18,4,4,2,3,2,4,U,father,0
M,18,2,1,1,4,5,5,R,mother,1
M,17,2,3,2,4,3,2,U,father,1
M,19,1,1,1,4,5,0,R,mother,1
M,18,4,2,1,5,3,14,R,father,1
F,18,2,2,3,5,4,2,R,mother,1
F,18,4,4,1,4,5,7,R,mother,0
F,19,2,3,3,5,5,0,R,mother,1
F,18,3,1,2,4,1,0,U,mother,1
F,18,1,1,2,1,5,0,U,mother,1
M,20,2,2,2,5,4,11,U,other,1
M,17,3,1,1,2,2,3,U,mother,1
M,21,1,1,1,5,3,3,R,other,1
M,18,3,2,1,4,5,0,R,mother,1
M,19,1,1,1,3,5,5,U,father,1
